text,difficulty
What is one-class SVM?,Hard
What is auto-encoder for anomaly detection?,Hard
What is time series forecasting?,Easy
What is stationarity in time series?,Medium
What is the ADF test?,Hard
What is neural architecture search (NAS)?,Hard
What is differentiable NAS (DARTS)?,Hard
What is hardware-aware NAS?,Hard
What is the purpose of a learning rate warmup?,Hard
What is the cosine learning rate decay formula?,Hard
What is gradient penalty?,Hard
What is the Lipschitz constraint?,Hard
What is spectral normalization?,Hard
What is layer normalization?,Hard
What is instance normalization?,Hard
What is group normalization?,Hard
What is AdaGrad optimizer?,Hard
What is RMSProp optimizer?,Hard
What is AdamW optimizer?,Hard
What is the weight decay decoupling in AdamW?,Hard
What is Lion optimizer?,Hard
What is the Prodigy optimizer?,Hard
What is continual learning?,Hard
What is elastic weight consolidation (EWC)?,Hard
What is replay-based continual learning?,Hard
What is few-shot learning?,Medium
What is zero-shot learning?,Medium
What is meta-learning?,Hard
What is MAML (Model-Agnostic Meta-Learning)?,Hard
What is contrastive learning?,Hard
What is SimCLR?,Hard
What is BYOL (Bootstrap Your Own Latent)?,Hard
What is Barlow Twins?,Hard
What is supervised contrastive learning?,Hard
What is the bias in a neural network?,Medium
What is the universal approximation theorem?,Hard
What is semi-supervised learning?,Medium
What is self-supervised learning?,Hard
What is the manifold hypothesis?,Hard
What is inductive bias?,Medium
What is the Occam's razor principle in ML?,Hard
What is a calibrated model?,Medium
What is the F-beta score?,Hard
What is stratified k-fold cross-validation?,Medium
What is the imbalanced dataset problem?,Hard
What is SMOTE?,Medium
What is class weight in ML?,Hard
What is the precision-recall tradeoff?,Medium
What is isotonic regression for calibration?,Hard
What is the dummy classifier?,Medium
What is the Matthews Correlation Coefficient?,Hard
What is Cohen's kappa?,Medium
What is the Brier score?,Hard
What is log loss (binary cross-entropy)?,Medium
What is the hinge loss?,Hard
What is focal loss?,Hard
What is dice loss?,Hard
What is multi-label classification?,Medium
What is ordinal regression?,Hard
What is regression to the mean?,Medium
What is Pearson correlation limitation?,Hard
What is Spearman correlation?,Hard
What is the central limit theorem relevance to ML?,Hard
What is gradient-free optimization?,Hard
What is the lottery ticket hypothesis?,Hard
What is magnitude pruning?,Hard
What is structured pruning?,Hard
What is quantization-aware training benefit?,Hard
What is the straight-through estimator?,Hard
What is neural network surgery?,Hard
What is the purpose of a validation curve?,Medium
What is the double descent phenomenon?,Hard
What is grokking in deep learning?,Hard
What is Simpson's paradox in ML?,Hard
What is causal inference vs correlation?,Hard
What is propensity score matching?,Hard
What is an instrumental variable?,Hard
What is A/B testing in ML context?,Medium
What is the multiple comparisons problem?,Hard
What is Bonferroni correction?,Hard
What is bootstrap confidence interval?,Hard
What is effect size in ML experiments?,Medium
What is Bayesian A/B testing?,Hard
What is power analysis?,Hard
What is the type I error (false positive)?,Hard
What is the type II error (false negative)?,Hard
What is the p-value?,Medium
What is the reproducibility crisis relevance to ML?,Hard
What is the generalization gap?,Hard
What is the Vapnik-Chervonenkis (VC) dimension?,Hard
What is the empirical risk minimization?,Medium
What is Rademacher complexity?,Hard
What is transfer learning benefit?,Medium
What is domain adaptation?,Hard
What is label shift (prior probability shift)?,Hard
What is importance weighting for covariate shift?,Hard
What is rejection sampling?,Hard
What is the curse of dimensionality for density estimation?,Hard
What is kernel density estimation (KDE)?,Hard
What is the bandwidth parameter in KDE?,Hard
What is model ensembling at test time?,Medium
What is Docker?,Easy
What is a Docker container?,Easy
What is a Docker image?,Easy
What is a Dockerfile?,Easy
What does FROM in Dockerfile do?,Easy
What does RUN in Dockerfile do?,Easy
What does COPY in Dockerfile do?,Easy
What does CMD in Dockerfile do?,Easy
What is the difference between CMD and ENTRYPOINT?,Hard
What does EXPOSE in Dockerfile do?,Medium
What does ENV in Dockerfile do?,Easy
What does WORKDIR in Dockerfile do?,Easy
What is a Docker volume?,Medium
What is a bind mount?,Medium
What does docker build do?,Easy
What does docker run do?,Easy
What does -d flag in docker run do?,Medium
What does -p 8080:80 flag do?,Medium
What does docker ps do?,Easy
What does docker ps -a do?,Easy
What does docker images do?,Easy
What does docker pull do?,Easy
What does docker push do?,Easy
What is Docker Hub?,Easy
What does docker exec do?,Medium
What does docker logs do?,Easy
What does docker stop do?,Easy
What does docker rm do?,Easy
What does docker rmi do?,Easy
What is Docker Compose?,Easy
What is the purpose of docker-compose.yml?,Easy
What does docker-compose up do?,Easy
What does docker-compose down do?,Medium
What is a Docker network?,Medium
What are the default Docker network drivers?,Hard
What is the bridge network in Docker?,Medium
What is overlay network in Docker?,Hard
What is Docker layer caching?,Medium
Why should you order Dockerfile instructions from least to most frequently changed?,Hard
What is a multi-stage Dockerfile build?,Hard
What is the difference between image and container?,Easy
What is Docker Swarm?,Medium
What is the difference between Docker Swarm and Kubernetes?,Medium
What is a Docker registry?,Easy
What is a private registry?,Medium
What does .dockerignore do?,Medium
What is the HEALTHCHECK instruction?,Hard
What is docker inspect?,Medium
What is docker stats?,Medium
What is the principle of immutable containers?,Hard
What is a scratch image?,Hard
What does USER instruction in Dockerfile do?,Hard
What is container orchestration?,Medium
What is tini?,Hard
What is a Docker socket?,Hard
What is the Docker daemon?,Medium
What is context in docker build?,Medium
What is the ADD instruction vs COPY?,Hard
What is docker prune?,Medium
What is the difference between docker stop and docker kill?,Medium
What is a container restart policy?,Medium
What is dind (Docker in Docker)?,Hard
What is a read-only container?,Hard
What is Docker content trust?,Hard
What is a Docker plugin?,Hard
What is --no-cache in docker build?,Medium
What is the purpose of ARG in Dockerfile?,Medium
What is the difference between ARG and ENV in Dockerfile?,Hard
What is a Docker namespace?,Hard
What is a cgroup?,Hard
What is seccomp in Docker security?,Hard
What is a multi-arch image?,Hard
What is ONBUILD instruction?,Hard
What does docker tag do?,Easy
What is Docker's copy-on-write filesystem?,Hard
What is a LABEL in Dockerfile?,Medium
What is the init flag in docker run?,Hard
What is container drift?,Hard
What is Distroless image?,Hard
What is BuildKit?,Hard
What is the purpose of STOPSIGNAL in Dockerfile?,Hard
What is docker commit?,Hard
What is a tmpfs mount?,Hard
What is container image scanning?,Medium
What tool is commonly used for image scanning?,Medium
What is OCI (Open Container Initiative)?,Hard
What is containerd?,Hard
What is runc?,Hard
What is the difference between docker run -v and --mount?,Hard
What is a named volume vs anonymous volume?,Medium
What is volume driver?,Hard
What does docker volume prune do?,Medium
What is docker save and docker load?,Hard
"What is a distro-specific image tag (e.g., alpine, slim)?",Medium
What is Kubernetes (K8s)?,Easy
What is a Pod in Kubernetes?,Easy
What is a Node in Kubernetes?,Easy
What is a Cluster in Kubernetes?,Easy
What is the Control Plane?,Medium
What is the API server in K8s?,Medium
What is etcd?,Hard
What is the Scheduler in K8s?,Medium
What is a Deployment in K8s?,Medium
What is a ReplicaSet?,Medium
What is a Service in K8s?,Easy
What is ClusterIP service?,Medium
What is NodePort service?,Medium
What is LoadBalancer service?,Medium
What is Ingress in K8s?,Hard
What is a Namespace in K8s?,Easy
What is a ConfigMap?,Easy
What is a Secret in K8s?,Easy
What is a PersistentVolume (PV)?,Medium
What is a PersistentVolumeClaim (PVC)?,Medium
What is a StatefulSet?,Hard
What is a DaemonSet?,Hard
What is a Job in K8s?,Medium
What is a CronJob in K8s?,Easy
What is kubectl?,Easy
What does kubectl get pods do?,Easy
What does kubectl apply -f do?,Easy
What does kubectl describe pod do?,Easy
What does kubectl logs do?,Easy
What does kubectl exec -it do?,Medium
What is a liveness probe?,Hard
What is a readiness probe?,Hard
What is a startup probe?,Hard
What is resource requests in K8s?,Medium
What is resource limits in K8s?,Medium
What is Horizontal Pod Autoscaler (HPA)?,Hard
What is Vertical Pod Autoscaler (VPA)?,Hard
What is Cluster Autoscaler?,Hard
What is a Helm chart?,Medium
What is Helm?,Medium
What is a taint in K8s?,Hard
What is a toleration in K8s?,Hard
What is a node affinity?,Hard
What is pod affinity/anti-affinity?,Hard
What is RBAC in Kubernetes?,Hard
What is a ServiceAccount?,Hard
What is a NetworkPolicy?,Hard
What is kube-proxy?,Hard
What is CoreDNS in K8s?,Hard
What is Istio?,Hard
What is a sidecar container?,Hard
What is an init container?,Hard
What is K8s rolling update?,Medium
What is blue-green deployment?,Medium
What is canary deployment?,Medium
What is etcd backup?,Hard
What is kubectl port-forward?,Medium
What is K8s RBAC Role vs ClusterRole?,Hard
What is a ResourceQuota?,Hard
What is LimitRange?,Hard
What does kubectl rollout undo do?,Medium
What is a K8s Operator?,Hard
What is Custom Resource Definition (CRD)?,Hard
What is kubeconfig?,Medium
What is a K8s context?,Medium
What is pod disruption budget (PDB)?,Hard
What is K8s federation?,Hard
What is Kustomize?,Hard
What is ArgoCD?,Hard
What is Flux?,Hard
What is the purpose of namespaces in K8s multi-tenancy?,Hard
What is K8s pod lifecycle: Pending state?,Medium
What is K8s pod status CrashLoopBackOff?,Medium
What is K8s pod status ImagePullBackOff?,Medium
What is OOM (Out of Memory) kill in K8s?,Medium
What is kube-scheduler's bin-packing vs spreading?,Hard
What is Priority Class in K8s?,Hard
What is eviction in K8s?,Hard
"What is K8s API versioning (e.g., v1, apps/v1)?",Hard
What is kubectl top?,Medium
What is a K8s Admission Controller?,Hard
What is OPA (Open Policy Agent) in K8s?,Hard
What is Gatekeeper?,Hard
What is GitOps?,Hard
What is pull-based vs push-based GitOps?,Hard
What is Velero?,Hard
What is the difference between K8s StatefulSet and Deployment for databases?,Hard
What is ephemeral container?,Hard
What is kubectl debug?,Hard
What is K8s certificate rotation?,Hard
What is kubeadm?,Medium
What is the purpose of node labels?,Medium
What does kubectl scale do?,Easy
What is CI (Continuous Integration)?,Easy
What is CD (Continuous Delivery)?,Easy
What is Continuous Deployment?,Medium
What is the difference between Continuous Delivery and Deployment?,Medium
What is Jenkins?,Easy
What is a Jenkinsfile?,Medium
What are Jenkins stages?,Easy
What is GitHub Actions?,Easy
What is a workflow in GitHub Actions?,Easy
What is a job in GitHub Actions?,Medium
What is a step in GitHub Actions?,Easy
What is a runner in GitHub Actions?,Easy
What is GitLab CI/CD?,Easy
What is a pipeline in GitLab CI?,Easy
What is CircleCI?,Medium
What is Travis CI?,Medium
What is Azure DevOps Pipelines?,Easy
What is AWS CodePipeline?,Easy
What is artifact in CI/CD?,Easy
What is artifact registry?,Medium
What is a build trigger?,Easy
What is branch protection?,Medium
What is a pull request (PR)?,Easy
What is code review in CI/CD?,Easy
What is a release pipeline vs build pipeline?,Medium
What is environment in CI/CD?,Easy
What is a deployment gate?,Medium
What is blue-green deployment in CI/CD?,Medium
What is canary release?,Medium
What is a feature flag?,Hard
What is the trunk-based development branching strategy?,Hard
What is Git Flow?,Medium
What is a hotfix in CI/CD?,Easy
What is a rollback strategy?,Medium
What is semantic versioning (SemVer)?,Medium
What does MAJOR version increment mean in SemVer?,Medium
What does MINOR version increment mean in SemVer?,Medium
What does PATCH version increment mean in SemVer?,Medium
What is a monorepo?,Medium
What is a polyrepo?,Easy
What is DORA metrics?,Hard
What is deployment frequency in DORA?,Medium
What is lead time for changes?,Hard
What is MTTR (Mean Time To Recovery)?,Hard
What is change failure rate?,Hard
What is a pipeline as code?,Medium
What is sonarqube?,Medium
What is SAST (Static Application Security Testing)?,Hard
What is DAST (Dynamic Application Security Testing)?,Hard
What is dependency scanning in CI/CD?,Medium
What is a build cache in CI/CD?,Medium
What is matrix testing?,Hard
What is environment variable management in CI/CD?,Medium
What is a Docker-based CI agent?,Medium
What is GitOps in CI/CD context?,Hard
What is infrastructure as code testing?,Hard
What is shift-left testing?,Medium
What is test-driven development (TDD)?,Easy
What is behavior-driven development (BDD)?,Medium
What is a nightly build?,Easy
What is parallel test execution?,Medium
What is a release candidate (RC)?,Medium
What is auto-scaling CI runners?,Hard
What is Tekton?,Hard
What is ArgoCD's role in CI/CD?,Hard
What is Spinnaker?,Hard
What is an integration test environment?,Medium
What is smoke testing in CI/CD?,Medium
What is regression testing?,Easy
What is the fail-fast principle in CI/CD?,Hard
What is a deployment manifest?,Medium
What is infrastructure drift?,Hard
What is immutable infrastructure?,Hard
What is GitLab's Auto DevOps?,Hard
What is Dependabot?,Medium
What is a release gate/quality gate?,Medium
What is deployment validation?,Medium
What is a self-hosted runner in GitHub Actions?,Medium
What is cache invalidation in CI/CD?,Hard
What is environment parity?,Hard
What is progressive delivery?,Hard
What is the purpose of code coverage gates?,Medium
What is Terraform?,Easy
What language does Terraform use?,Easy
What is a Terraform provider?,Easy
What is a Terraform resource?,Easy
What does terraform init do?,Easy
What does terraform plan do?,Easy
What does terraform apply do?,Easy
What does terraform destroy do?,Easy
What is Terraform state?,Medium
Why is Terraform state important?,Medium
What is remote state?,Medium
What is a Terraform backend?,Medium
What is state locking?,Hard
What is a Terraform module?,Medium
What is a Terraform variable?,Easy
What is a Terraform output?,Medium
What is terraform.tfvars file?,Medium
What is the count meta-argument?,Medium
What is the for_each meta-argument?,Medium
What is the difference between count and for_each?,Hard
What is a data source in Terraform?,Medium
What is terraform fmt?,Easy
What is terraform validate?,Easy
What is terraform import?,Medium
What is terraform taint?,Hard
What replaced terraform taint?,Hard
What is terraform refresh?,Medium
What is the lifecycle meta-argument?,Hard
What does create_before_destroy do?,Hard
What does prevent_destroy do?,Hard
What does ignore_changes do?,Hard
What is a workspace in Terraform?,Medium
What is the default workspace?,Easy
What is Terraform Cloud?,Medium
What is Sentinel?,Hard
What is module registry?,Medium
What is a provider lock file?,Hard
What is dynamic block in Terraform?,Hard
What is locals in Terraform?,Medium
What is depends_on meta-argument?,Hard
What is the provisioner in Terraform?,Hard
What is user_data in cloud resources (Terraform)?,Medium
What is terraform show?,Medium
What is terraform state list?,Medium
What is terraform state show?,Medium
What is terraform state rm?,Hard
What is terraform state mv?,Hard
What is the purpose of terraform output?,Easy
What is version constraint in required_providers?,Medium
What is a null_resource?,Hard
What is terraform console?,Hard
What is the difference between resource and data source?,Medium
What is the -target flag in terraform apply?,Hard
What is -var flag in terraform apply?,Medium
What is the difference between == and = in Terraform?,Medium
What is a template_file data source?,Hard
What is templatefile() function?,Hard
What is for expression in Terraform?,Hard
What is conditional expression in Terraform?,Medium
What is splat expression (*)?,Hard
What is a moved block in Terraform?,Hard
What is check block in Terraform 1.5+?,Hard
What is precondition/postcondition?,Hard
What is Terragrunt?,Hard
What is Pulumi vs Terraform?,Hard
What is CDK for Terraform (CDKTF)?,Hard
What is resource drift in Terraform?,Medium
What does terraform providers do?,Easy
What is the purpose of .terraform directory?,Medium
What is terraformer?,Hard
What is the purpose of required_version in Terraform?,Medium
What is a partial backend configuration?,Hard
What is terraform force-unlock?,Hard
What is the importance of storing state in S3 with versioning?,Hard
What is a Terraform registry?,Medium
What is the purpose of tags in cloud resources via Terraform?,Medium
What is cloud-agnostic infrastructure code?,Medium
What is the depends_on use case for modules?,Hard
What are provider aliases used for?,Hard
What is the replace_triggered_by lifecycle argument?,Hard
What is observability?,Medium
What are the three pillars of observability?,Medium
What is Prometheus?,Easy
What is the Prometheus data model?,Medium
What is PromQL?,Medium
What is a Prometheus exporter?,Medium
What is Grafana?,Easy
What is Grafana dashboard?,Easy
What is Alertmanager in Prometheus?,Medium
What is a Prometheus alert rule?,Medium
What is the Loki stack?,Medium
What is ELK stack?,Easy
What is Elasticsearch?,Easy
What is Logstash?,Easy
What is Kibana?,Easy
What is Fluentd/Fluent Bit?,Medium
What is distributed tracing?,Medium
What is Jaeger?,Medium
What is Zipkin?,Medium
What is OpenTelemetry?,Hard
What is a span in distributed tracing?,Medium
What is a trace in distributed tracing?,Medium
What is trace context propagation?,Hard
What is SLI (Service Level Indicator)?,Hard
What is SLO (Service Level Objective)?,Hard
What is SLA (Service Level Agreement)?,Medium
What is error budget?,Hard
What is RED method of monitoring?,Hard
What is USE method of monitoring?,Hard
What is the Four Golden Signals?,Hard
What is latency in monitoring?,Easy
What is saturation in monitoring?,Medium
What is a metric cardinality problem?,Hard
What is a scrape interval in Prometheus?,Medium
What is Prometheus pushgateway?,Hard
What is a counter metric type?,Medium
What is a gauge metric type?,Medium
What is a histogram metric type?,Hard
What is a summary metric type?,Hard
What is health check endpoint?,Easy
What is the difference between /health and /ready?,Medium
What is on-call rotation?,Easy
What is incident management?,Medium
What is MTBF (Mean Time Between Failures)?,Medium
What is postmortem (incident retrospective)?,Medium
What is synthetic monitoring?,Hard
What is Real User Monitoring (RUM)?,Medium
What is APM (Application Performance Monitoring)?,Medium
What is New Relic?,Easy
What is Datadog?,Easy
What is Dynatrace?,Medium
What is CloudWatch?,Easy
What is Azure Monitor?,Easy
What is Google Cloud Monitoring?,Easy
What is PagerDuty?,Easy
What is VictorOps (Splunk On-Call)?,Medium
What is the purpose of runbooks?,Medium
What is log level?,Easy
What is structured logging?,Medium
What is centralized logging?,Easy
What is log retention policy?,Medium
What is a correlation ID?,Hard
What is the difference between monitoring and observability?,Hard
What is the cardinality of labels in Prometheus?,Hard
What is recording rule in Prometheus?,Hard
What is the Thanos project?,Hard
What is Cortex?,Hard
What is Mimir?,Hard
What is Tempo (Grafana)?,Hard
What is the role of labels in Prometheus alerting?,Hard
What is inhibition rule in Alertmanager?,Hard
What is silencing in Alertmanager?,Medium
What is anomaly detection in monitoring?,Hard
What is canary monitoring?,Hard
What is capacity planning?,Medium
What is SLO burn rate alert?,Hard
What is multi-window multi-burn-rate alert?,Hard
What is the node_exporter?,Medium
What is kube-state-metrics?,Hard
What is Prometheus federation?,Hard
What is the scrape_interval vs evaluation_interval in Prometheus?,Hard
What is a dead man's switch alert in monitoring?,Hard
What is chaos engineering?,Medium
What is Chaos Monkey?,Medium
What is the purpose of alerting fatigue prevention?,Medium
What is Git?,Easy
What does git init do?,Easy
What does git clone do?,Easy
What does git add do?,Easy
What does git commit do?,Easy
What does git push do?,Easy
What does git pull do?,Easy
What is the difference between git fetch and git pull?,Medium
What does git status do?,Easy
What does git log do?,Easy
What does git diff do?,Easy
What does git branch do?,Easy
What does git checkout do?,Easy
What does git switch do?,Medium
What does git merge do?,Easy
What is the difference between merge and rebase?,Medium
What does git rebase do?,Medium
What is a merge conflict?,Easy
How do you resolve a merge conflict?,Medium
What does git stash do?,Medium
What does git stash pop do?,Medium
What does git reset do?,Medium
"What is the difference between git reset --soft, --mixed, --hard?",Hard
What does git revert do?,Medium
What is the difference between git reset and git revert?,Hard
What does git cherry-pick do?,Hard
What does git tag do?,Medium
What is an annotated tag vs lightweight tag?,Hard
What is HEAD in Git?,Medium
What is detached HEAD state?,Hard
What does git remote do?,Easy
What does git remote add do?,Easy
What is origin?,Easy
What is upstream?,Medium
What does git bisect do?,Hard
What does git blame do?,Medium
What is .gitignore?,Easy
What is a Git hook?,Medium
What is a pre-commit hook?,Medium
What is the staging area (index)?,Medium
What does git add -p do?,Hard
What is git commit --amend?,Medium
What does git reflog do?,Hard
Why is git reflog useful?,Hard
What is a squash merge?,Medium
What is fast-forward merge?,Medium
What is the --no-ff flag?,Hard
What is an interactive rebase?,Hard
What is squashing commits?,Medium
What is the GitHub Flow branching model?,Medium
What is the purpose of git pull --rebase?,Hard
What is a shallow clone?,Hard
What is git submodule?,Hard
What does git worktree do?,Hard
What is git archive?,Medium
What is git shortlog?,Medium
What is git grep?,Medium
What does ORIG_HEAD contain after a merge?,Hard
What is FETCH_HEAD?,Hard
What is MERGE_HEAD?,Hard
What is git gc?,Hard
What is git prune?,Hard
What is git remote prune origin?,Hard
What is a bare repository?,Hard
What is git bundle?,Hard
What does git clean do?,Medium
What is the difference between tracked and untracked files?,Easy
What is modified vs staged vs committed?,Medium
What does git log --oneline do?,Easy
What does git log --graph do?,Medium
What is git config --global?,Easy
What is the purpose of commit signing?,Hard
What is git rerere?,Hard
What is the rule about rewriting public history?,Hard
What is force push (git push -f)?,Medium
What is git push --force-with-lease?,Hard
What is conventional commits?,Medium
What is semantic-release?,Hard
What is git-flow tool?,Medium
What is the purpose of PR (Pull Request) templates?,Medium
What is CODEOWNERS file?,Hard
What does Signed-off-by mean in commits?,Hard
What is the DCO (Developer Certificate of Origin)?,Hard
What is Large File Storage (LFS) in Git?,Hard
What does git ls-files do?,Medium
What is the sparse-checkout feature?,Hard
What is the purpose of git notes?,Hard
What is a DevOps pipeline?,Easy
What are the typical stages of a CI/CD pipeline?,Easy
What is a pipeline trigger?,Easy
What is a webhook?,Medium
What is a build artifact?,Easy
What is artifact versioning?,Medium
What is a multi-stage pipeline?,Easy
What are Declarative vs Scripted Pipelines in Jenkins?,Hard
What is a parallel stage?,Medium
What is a pipeline stage gate?,Medium
What is environment promotion?,Medium
What is the difference between a build server and an agent?,Medium
What is a shared library in Jenkins?,Hard
What is a pipeline template?,Medium
What is a self-service pipeline?,Medium
What is the build context in Docker within CI?,Medium
What is layer caching in Docker CI builds?,Medium
What is kaniko?,Hard
What is buildah?,Hard
What is a pipeline graph?,Easy
What is pipeline observability?,Medium
What is flaky test?,Easy
What is test quarantine?,Hard
What is a monorepo pipeline challenge?,Hard
What is affected testing in monorepos?,Hard
What is pipeline caching?,Medium
What is a Docker layer cache mount in BuildKit?,Hard
What is secret management in pipelines?,Medium
What tools are used for secret management in CI/CD?,Medium
What is code coverage in CI?,Easy
What is the quality gate in CI?,Medium
What is lint checking in CI?,Easy
What is static analysis in CI?,Medium
What is OWASP dependency check?,Medium
What is Snyk in CI/CD?,Medium
What is a deployment pipeline vs release pipeline?,Hard
What is change management in CI/CD?,Medium
What is ChatOps?,Medium
What is the pipeline success rate metric?,Medium
What is mean time to pipeline completion?,Medium
What is pipeline idempotency?,Hard
What is a pipeline cleanup step?,Medium
What is retry mechanism in pipelines?,Medium
What is timeout in pipeline steps?,Easy
What is fan-out/fan-in pipeline pattern?,Hard
What is a workspace in CI/CD pipelines?,Medium
What is pipeline migration?,Medium
What is the role of environment variables in pipelines?,Easy
What is a composite action in GitHub Actions?,Hard
What is a reusable workflow in GitHub Actions?,Hard
What is path filtering in CI triggers?,Medium
What is scheduled pipeline?,Easy
What is a smoke test in pipeline?,Medium
What is pipeline as product?,Hard
What is the difference between rolling deployment and recreate?,Medium
What is infrastructure pipeline?,Medium
What is GitOps pipeline?,Hard
What is a deployment token?,Medium
What is pipeline YAML anchors?,Hard
What is matrix in GitHub Actions?,Medium
What is a self-healing pipeline?,Hard
What is a golden path pipeline?,Hard
What is deployment ring in pipelines?,Hard
What is the purpose of the build manifest?,Hard
What is SBOM (Software Bill of Materials)?,Hard
What is provenance attestation in CI/CD?,Hard
What is SLSA framework?,Hard
What is sigstore?,Hard
What is cosign?,Hard
What is pipeline dependency graph?,Hard
What is long-running test handling?,Medium
What is test impact analysis?,Hard
What is binary authorization?,Hard
What is the security pipeline concept?,Medium
What is shift-right testing?,Hard
What is a canary analysis pipeline?,Hard
What is the purpose of build numbering?,Easy
What is the pipeline contract?,Hard
What is supply chain security in CI/CD?,Hard
What is hermetic build?,Hard
What is reproducible build?,Hard
What is the purpose of checksums in artifact distribution?,Medium
What is a pipeline health dashboard?,Medium
What is DevSecOps?,Easy
What is the principle of least privilege?,Easy
What is zero trust security?,Medium
What is a CVE?,Easy
What is a CVSS score?,Medium
What is dependency confusion attack?,Hard
What is supply chain attack?,Hard
What is container image hardening?,Hard
What is Pod Security Admission in K8s?,Hard
What is network segmentation?,Medium
What is TLS (Transport Layer Security)?,Easy
What is mutual TLS (mTLS)?,Hard
What is a service mesh security benefit?,Hard
What is secrets rotation?,Medium
What is HashiCorp Vault?,Medium
What is dynamic secret?,Hard
What is RBAC in cloud security?,Medium
What is IAM (Identity and Access Management)?,Easy
What is the difference between authentication and authorization?,Easy
What is MFA (Multi-Factor Authentication)?,Easy
What is SAST (Static Application Security Testing)?,Medium
What is DAST (Dynamic Application Security Testing)?,Medium
What is IAST (Interactive Application Security Testing)?,Hard
What is penetration testing?,Medium
What is bug bounty program?,Medium
What is OWASP Top 10?,Easy
What is SQL injection?,Easy
What is XSS (Cross-Site Scripting)?,Easy
What is CSRF (Cross-Site Request Forgery)?,Medium
What is SSRF (Server-Side Request Forgery)?,Hard
What is a WAF (Web Application Firewall)?,Medium
What is rate limiting?,Easy
What is DDoS protection?,Medium
What is container escape?,Hard
What is seccomp in container security?,Hard
What is AppArmor?,Hard
What is a security context in K8s?,Hard
What is runAsNonRoot in K8s security?,Medium
What is allowPrivilegeEscalation: false?,Medium
What is readOnlyRootFilesystem?,Hard
What is image signing?,Hard
What is the principle of defense in depth?,Medium
What is a security audit log?,Medium
What is SIEM (Security Information and Event Management)?,Hard
What is SOC (Security Operations Center)?,Medium
What is data encryption at rest?,Easy
What is data encryption in transit?,Easy
What is key management?,Medium
What is PKI (Public Key Infrastructure)?,Hard
What is a digital certificate?,Medium
What is certificate rotation?,Medium
What is Let's Encrypt?,Easy
What is SSO (Single Sign-On)?,Easy
What is OAuth 2.0?,Medium
What is OIDC (OpenID Connect)?,Hard
What is a JWT (JSON Web Token)?,Medium
What is JWT structure?,Medium
What is the problem with storing JWT in localStorage?,Hard
What is SPIFFE/SPIRE?,Hard
What is network policy in K8s security?,Hard
What is baseline vs restricted pod security standard?,Hard
What is SBOM security benefit?,Hard
What is code signing in CI/CD?,Hard
What is vulnerability disclosure?,Medium
What is the security principle of fail securely?,Hard
What is security scanning in container registries?,Medium
What is runtime security?,Hard
What is Falco?,Hard
What is Trivy?,Medium
What is OIDC federation in CI/CD?,Hard
What is the AWS IRSA (IAM Roles for Service Accounts)?,Hard
What is Workload Identity in GCP?,Hard
What is security posture management?,Hard
What is CSPM (Cloud Security Posture Management)?,Hard
What is privilege escalation prevention?,Medium
What is image tag immutability?,Hard
What is admission control?,Hard
What is OPA (Open Policy Agent)?,Hard
What is a security baseline?,Medium
What is threat modeling?,Hard
What is the STRIDE framework?,Hard
What is compliance as code?,Hard
What is CIS Benchmarks?,Hard
What is SOC 2 compliance?,Hard
What is GDPR impact on DevOps?,Medium
What is the role of security champions?,Medium
What is red team vs blue team?,Medium
What is a purple team exercise?,Hard
What is CVE scanning frequency best practice?,Hard
What is credential scanning?,Medium
What is GitGuardian?,Hard
What is gitleaks?,Hard
What is cloud computing?,Easy
What are the three cloud service models?,Easy
What is IaaS?,Easy
What is PaaS?,Easy
What is SaaS?,Easy
What is FaaS?,Medium
What is serverless computing?,Easy
What is AWS?,Easy
What is Azure?,Easy
What is GCP (Google Cloud Platform)?,Easy
What is AWS EC2?,Easy
What is AWS S3?,Easy
What is AWS Lambda?,Easy
What is AWS RDS?,Easy
What is AWS VPC?,Easy
What is a cloud region?,Easy
What is an availability zone?,Medium
What is multi-region deployment?,Medium
What is cloud elasticity?,Easy
What is auto-scaling in cloud?,Easy
What is a load balancer?,Easy
What is AWS ELB?,Easy
What is the difference between ALB and NLB in AWS?,Hard
What is AWS CloudFront?,Easy
What is a CDN?,Easy
What is AWS IAM?,Easy
What is an IAM role vs IAM user?,Medium
What is an IAM policy?,Medium
What is AWS CloudWatch?,Easy
What is AWS ECS?,Medium
What is AWS EKS?,Medium
What is AWS Fargate?,Hard
What is AWS ECR?,Medium
What is Azure AKS?,Medium
What is GKE?,Medium
What is infrastructure as code in cloud?,Easy
What is AWS CloudFormation?,Medium
What is the Shared Responsibility Model?,Medium
What is cloud cost optimization?,Medium
What are reserved instances in AWS?,Medium
What are spot instances?,Medium
What is AWS Savings Plans?,Hard
What is FinOps?,Hard
What is multi-cloud strategy?,Medium
What is hybrid cloud?,Easy
What is edge computing?,Medium
What is AWS Direct Connect?,Hard
What is VPC peering?,Hard
What is Transit Gateway?,Hard
What is AWS Route 53?,Easy
What is a NAT Gateway?,Medium
What is an Internet Gateway?,Easy
What is a private subnet?,Medium
What is a security group in AWS?,Medium
What is the difference between security group and NACL?,Hard
What is AWS SQS?,Medium
What is AWS SNS?,Medium
What is AWS EventBridge?,Hard
What is event-driven architecture?,Medium
What is AWS API Gateway?,Medium
What is service mesh in cloud-native?,Hard
What is cloud-native application?,Medium
What is the 12-factor app methodology?,Hard
